Pointer,Original,Translated
0x7401e,"てんたいかんそくじょ","Observatory"
0x74020,"てんたいかんそくじょ","=0x7401e"
0x74022,"ほんたいかいかいじょう","Main Tournament Hall"
0x74024,"せんしゅホテル","Tournament Hotel"
0x74026,"ゆにゅうひんや","Import Shop"
0x74028,"メダロットけんきゅうじょ","Medarot Laboratory"
0x7402a,"パディのいえ","Paddy's House"
0x7402c,"あがた イネサク<49>    ヨネ","Inesaku &<49>Yone Agata"
0x7402e,"イタコのいえ","Wise Woman's House"
0x74030,"メダルきねんかん","Medal Museum"
0x74032,"ペットショップ","Pet Shop"
0x74034,"ふくびきしょ","Lottery Shop"
0x74036,"バー","Bar"
0x74038,"むしはかせ けんきゅうじょ","Insect Professor's Lab"
0x7403a,"にんじゃやしき","Ninja Mansion"
0x7403c,"メダロットしゃ","Medarot Company"
0x7403e,"ユウキのいえ","Yuuki's House"
0x74040,"やくば","Town Hall"
0x74042,"あがた ベイスケ<49>    マイコ <49>あがた <&NAME><49>    ボナパルト","Beisuke &<49>Maiko Agata<49><&NAME> Agata<49>Bonaparte"
0x74044,"キララのいえ","Kirara's House"
0x74046,"イセキのいえ","Iseki's House"
0x74048,"クボタのいえ","Kubota's House"
0x7404a,"ヤンマのいえ","Yanma's House"
0x7404c,"こっとうひんや","Antiques"
0x7404e,"セレクトしぶ","Select Office"
0x74050,"セレクトほんしゃビル","Select Headquarters"
0x74052,"そんちょうのいえ","Mayor's House"
0x74054,"ねこまねきだ","It's a lucky cat statue."
0x74056,"ぽこぽこたぬきだ","It's a Tanuki statue."
0x74058,"みたことのないむしだ","It's a bug I've never seen before."
0x7405a,"しんがたパーツが いっぱいある","The newest parts are on display."
0x7405c,"す すごいメダルだ!","W-Whoa! This Medal is amazing!"
0x7405e,"ほかのひとの パソコンは<49>みちゃいけないぞ","I shouldn't mess with other people's computers."
0x74060,"メダロットグッズが やまづみだ","Medarot goods line the shelves."
0x74062,"パーツの じどうはんばいきだ!<49>だけど ぜんぶ うリきれだ!","It's a vending machine for parts!<49>...But everything's sold out."
0x74064,"メダロットが でます<49>エサを あたえないでください","""Please do not feed the Medarots"""
0x74066,"きけん!!<49>うちゅうじんが でます","""Danger!! Beware of aliens"""
0x74068,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","<&BUF01> cleared all Burn status!<S3c><*4>"
0x7406a,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x7406c,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x7406e,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x74070,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x74072,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x74074,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x74076,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x74078,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x7407a,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x7407c,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x7407e,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x74080,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x74082,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x74084,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x74086,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x74088,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x7408a,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x7408c,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x7408e,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x74090,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x74092,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x74094,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x74096,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x74098,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x7409a,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x7409c,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x7409e,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x740a0,"メダル 「<&BUF01>」 は<49>レベルアップした!<49><*4>","=0x74068"
0x740a2,"なぐるが <&BUF01> あがった!<49><*4>","Strike skill increased by <&BUF01>!<49><*4>"
0x740a4,"がむしゃらが <&BUF01> あがった!<49><*4>","Berserk skill increased by <&BUF01>!<49><*4>"
0x740a6,"うつが <&BUF01> あがった!<49><*4>","Shoot skill increased by <&BUF01>!<49><*4>"
0x740a8,"ねらいうちが <&BUF01> あがった!<49><*4>","Snipe skill increased by <&BUF01>!<49><*4>"
0x740aa,"おうえんが <&BUF01> あがった!<49><*4>","Support skill increased by <&BUF01>!<49><*4>"
0x740ac,"まもるが <&BUF01> あがった!<49><*4>","Protect skill increased by <&BUF01>!<49><*4>"
0x740ae,"なおすが <&BUF01> あがった!<49><*4>","Heal skill increased by <&BUF01>!<49><*4>"
0x740b0,"そのほかが <&BUF01> あがった!<49><*4>","Other skill increased by <&BUF01>!<49><*4>"
0x740b2,"メダル 「<&BUF01>」 は<49>ランクアップした!<49><*4>","""<&BUF01>"" Medal's rank went up!<49><*4>"
0x740b4,"さあ せんとうかいし!<*3>","Let the battle begin!<*3>"
0x740b6,"さあ せんとうかいし!<*3>","=0x740b4"
0x740b8,"さあ せんとうかいし!<*3>","=0x740b4"
0x740ba,"さあ せんとうかいし!<*3>","=0x740b4"
0x740bc,"さあ せんとうかいし!<*3>","=0x740b4"
0x740be,"さあ せんとうかいし!<*3>","=0x740b4"
0x740c0,"さあ せんとうかいし!<*3>","=0x740b4"
0x740c2,"さあ せんとうかいし!<*3>","=0x740b4"
0x740c4,"さあ せんとうかいし!<*3>","=0x740b4"
0x740c6,"さあ せんとうかいし!<*3>","=0x740b4"
0x740c8,"さあ せんとうかいし!<*3>","=0x740b4"
0x740ca,"さあ せんとうかいし!<*3>","=0x740b4"
0x740cc,"さあ せんとうかいし!<*3>","=0x740b4"
0x740ce,"さあ せんとうかいし!<*3>","=0x740b4"
0x740d0,"さあ せんとうかいし!<*3>","=0x740b4"
0x740d2,"さあ せんとうかいし!<*3>","=0x740b4"
0x740d4,"さあ せんとうかいし!<*3>","=0x740b4"
0x740d6,"さあ せんとうかいし!<*3>","=0x740b4"
0x740d8,"さあ せんとうかいし!<*3>","=0x740b4"
0x740da,"さあ せんとうかいし!<*3>","=0x740b4"
0x740dc,"さあ せんとうかいし!<*3>","=0x740b4"
0x740de,"さあ せんとうかいし!<*3>","=0x740b4"
0x740e0,"さあ せんとうかいし!<*3>","=0x740b4"
0x740e2,"さあ せんとうかいし!<*3>","=0x740b4"
0x740e4,"さあ せんとうかいし!<*3>","=0x740b4"
0x740e6,"さあ せんとうかいし!<*3>","=0x740b4"
0x740e8,"さあ せんとうかいし!<*3>","=0x740b4"
0x740ea,"さあ せんとうかいし!<*3>","=0x740b4"
0x740ec,"さあ せんとうかいし!<*3>","=0x740b4"
0x740ee,"さあ せんとうかいし!<*3>","=0x740b4"
0x740f0,"さあ せんとうかいし!<*3>","=0x740b4"
0x740f2,"つうしんロボトルを はじめます!!<S3c><*4>","The link Robottle will now begin!<S3c><*4>"
0x740f4,"つかえません!!","You can't use that!!"
0x740f6,"すてることはできません","It can't be thrown away."
0x740f8,"いくつすてますか？<*4>","How many?"
0x740fa,"ほんとうに すてても<49>よろしいですか？<*4>","Are you sure you want to throw it away?"
0x740fc,"せんとうに さんかできません","It can't battle in this state."
0x740fe,"<&BUF01> は<49>なにも しなかった!<S1e><*4>","<&BUF01> did nothing!<S1e><*4>"
0x74100,"<&BUF01> の<49>なぐる こうげき! <&BUF04>!<*4>","<&BUF01>'s Strike attack! <&BUF04>!<*4>"
0x74102,"<&BUF01> の<49>がむしゃら こうげき! <&BUF04>!<*4>","<&BUF01>'s Berserk attack! <&BUF04>!<*4>"
0x74104,"<&BUF01> の<49>なぐる こうげき! <&BUF04>!<*4>","<&BUF01>'s Strike attack! <&BUF04>!<*4>"
0x74106,"<&BUF01> の<49>がむしゃら こうげき! <&BUF04>!<*4>","<&BUF01>'s Berserk attack! <&BUF04>!<*4>"
0x74108,"<&BUF01> は<49>あたまに <&BUF04>ダメージ!<S3c><*4>","<&BUF01>'s head took <&BUF04> damage!<S3c><*4>"
0x7410a,"<&BUF01> は<49>みぎうでに <&BUF04>ダメージ!<S3c><*4>","<&BUF01>'s right arm took <&BUF04> damage!<S3c><*4>"
0x7410c,"<&BUF01> は<49>ひだリうでに <&BUF04>ダメージ!<S3c><*4>","<&BUF01>'s left arm took <&BUF04> damage!<S3c><*4>"
0x7410e,"<&BUF01> は<49>きゃくぶに <&BUF04>ダメージ!<S3c><*4>","<&BUF01>'s legs took <&BUF04> damage!<S3c><*4>"
0x74110,"<&BUF01> の<49>あたまは こわれた<*4>","<&BUF01>'s head was destroyed.<*4>"
0x74112,"<&BUF01> の<49>みぎうでは こわれた<*4>","<&BUF01>'s right arm was destroyed.<*4>"
0x74114,"<&BUF01> の<49>ひだリうでは こわれた<*4>","<&BUF01>'s left arm was destroyed.<*4>"
0x74116,"<&BUF01> の<49>きゃくぶは こわれた<*4>","<&BUF01>'s legs were destroyed.<*4>"
0x74118,"べつのパーツに かんつうした!!<S3c><*4>","The attack damaged other parts!<S3c><*4>"
0x7411a,"<&BUF01> は<49>こうげきを かわした!<S3c><*4>","<&BUF01> dodged the attack!<S3c><*4>"
0x7411c,"<&BUF01> の<49>うつ こうげき! <&BUF04>!<*4>","<&BUF01>'s Shoot attack! <&BUF04>!<*4>"
0x7411e,"<&BUF01> の<49>ねらいうち こうげき! <&BUF04>!<*4>","<&BUF01>'s Snipe attack! <&BUF04>!<*4>"
0x74120,"<&BUF01> は<49>みかたを おうえんした<*4>","<&BUF01> supported its teammate!<*4>"
0x74122,"<&BUF01> は<49>スピードアップした!!<*4>","<&BUF01>'s speed was boosted!<*4>"
0x74124,"<&BUF01> に<49>おうえんの こうかが なかった<*4>","It had no effect on <&BUF01>.<*4>"
0x74126,"ほうねつに せいこうした<49><*1>","Cooldown succeeded.<49><*1>"
0x74128,"ほうねつに しっぱいした<49><*1>","Cooldown failed.<49><*1>"
0x7412a,"<&BUF01> は<49>チームぜんたいを まもリます!<S3c><*4>","<&BUF01> is guarding its team!<S3c><*4>"
0x7412c,"てきのリーダーを たおした<49><*1>","Defeated the enemy leader!<49><*1>"
0x7412e,"みかたのリーダーが たおれた<49><*1>","Your leader has been defeated!<49><*1>"
0x74130,"えんごきたいが まもリにはいった!<S1e><*4>","The guard Medarot took the hit!<S1e><*4>"
0x74132,"トラップをしかけた!<49>しかし すでにせっちされていた!<S3c><*4>","A trap has already been set!<S3c><*4>"
0x74134,"<&BUF01> の<49>ほんたいの きのうがていしした!!<*4>","<&BUF01> shut down!<*4>"
0x74136,"<&BUF01> は<49>ぼうぎょに せいこうした!!<S3c><*4>","<&BUF01>'s defense was successful!<S3c><*4>"
0x74138,"<&BUF01> の<49>こうどうパーツは こわれていた<S3c><*4>","The part <&BUF01> used is broken!<S3c><*4>"
0x7413a,"あいてはすでに<49>きのうていし していた!!<S3c><*4>","The target has already shut down!<S3c><*4>"
0x7413c,"ねらったパーツは<49>すでに こわれていた!!<S3c><*4>","The targeted part is already broken!<S3c><*4>"
0x7413e,"トラップをしかけた!<49>しかし すでにせっちされていた!<S3c><*4>","A trap has already been set!<S3c><*4>"
0x74140,"<&BUF01> の<49>せっちに しっぱいした<S3c><*4>","<&BUF01>'s trap failed to set!<S3c><*4>"
0x74142,"<&BUF01> の<49>せっちに せいこうした<S3c><*4>","<&BUF01>'s trap was set!<S3c><*4>"
0x74144,"トラップを かいひした<S3c><*4>","Avoided the trap!<S3c><*4>"
0x74146,"トラップに ひっかかった<S3c><*4>","Got caught in the trap!<S3c><*4>"
0x74148,"トラップが かいじょされた<S3c><*4>","The trap was cleared!<S3c><*4>"
0x7414a,"<&BUF01> は<49>かいじょするものが なかった<S3c><*4>","There's nothing to clear!<S3c><*4>"
0x7414c,"<&BUF01> は<49>かいじょに しっぱいした<S3c><*4>","<&BUF01>'s clear failed!<S3c><*4>"
0x7414e,"<&BUF01> は<49>トラップを かいじょした!<S3c><*4>","<&BUF01> cleared the trap!<S3c><*4>"
0x74150,"<&BUF01> は<49>バリアを かいじょした!<S3c><*4>","<&BUF01> cleared the barrier!<S3c><*4>"
0x74152,"<&BUF01> は<49>かいじょするものが なかった<S3c><*4>","There's nothing to clear!<S3c><*4>"
0x74154,"<&BUF01> は<49>かいじょに しっぱいした<S3c><*4>","<&BUF01>'s clear failed!<S3c><*4>"
0x74156,"<&BUF01> は<49>しょうじょうを かいじょした!<S3c><*4>","<&BUF01> cleared the status!<S3c><*4>"
0x74158,"<&BUF01> は<49>かいふくに せいこうした!!<*4>","<&BUF01>'s repair was successful!<*4>"
0x7415a,"<&BUF01> は<49>かいふくに せいこうした!!<*4>","=0x74158"
0x7415c,"<&BUF01> は<49>かいふくの こうかがなかった!!<*4>","<&BUF01>'s repair had no effect!<*4>"
0x7415e,"<&BUF01> の<49>あたまは かいふくした<S3c><*4>","<&BUF01>'s head was repaired!<S3c><*4>"
0x74160,"<&BUF01> の<49>みぎうでは かいふくした<S3c><*4>","<&BUF01>'s right arm was repaired!<S3c><*4>"
0x74162,"<&BUF01> の<49>ひだリうでは かいふくした<S3c><*4>","<&BUF01>'s left arm was repaired!<S3c><*4>"
0x74164,"<&BUF01> の<49>きゃくぶは かいふくした<S3c><*4>","<&BUF01>'s legs were repaired!<S3c><*4>"
0x74166,"<&BUF01> は<49>さくてきを おこなった<S3c><*4>","<&BUF01> scanned the area!<S3c><*4>"
0x74168,"チームぜんいんの<49>せいこうリつが あがった!<S3c><*4>","The team's success rate increased!<S3c><*4>"
0x7416a,"<&BUF01> は<49>いんぺいを おこなった<S3c><*4>","<&BUF01> concealed itself!<S3c><*4>"
0x7416c,"しかし いんぺいに しっぱいした!<S3c><*4>","But it remained visible!<S3c><*4>"
0x7416e,"かいひリつが あがった!<S3c><*4>","Evasion increased!<S3c><*4>"
0x74170,"<&BUF04>を つかった!<S3c><*4>","Used <&BUF04>!<S3c><*4>"
0x74172,"こうかが なかった!!<S3c><*4>","There was no effect!<S3c><*4>"
0x74174,"<&BUF02>は <49><&BUF04>に ヘんかした!!<S3c><*4>","<&BUF02> transformed into <&BUF04>!<S3c><*4>"
0x74176,"あまリこうかが なかった!!<S3c><*4>","It had little effect!<S3c><*4>"
0x74178,"<&BUF01> には きかなかった<S3c><*4>","It had no effect on <&BUF01>.<S3c><*4>"
0x7417a,"セーブしますか？<*4>","Do you want to save?<*4>"
0x7417c,"メダロットが<49>1たいも くまれていません!<49>メダロットを くんでください!","You have no battle-ready Medarots!<49>Please assemble a Medarot!"
0x7417e,"せいぎの ためで あリますっ!<*2>","For justice, sir!<*2>"
0x74180,"せいぎの ためで あリますっ!<*2>","=0x7417e"
0x74182,"あくの かぎリを つくすロボ<*2>","Our evil knows no bounds, Robo!<*2>"
0x74184,"せっしゃが あいてを するで ござる<*2>","I shall be your opponent!<*2>"
0x74186,"かてると おもうんなら<49>かかってきな!<*2>","Come at me if you think you can win!<*2>"
0x74188,"メダロット もってるな<49>よし やろうぜ<*2>","You have a Medarot, right?<49>Let's battle!<*2>"
0x7418a,"てかげん しないじゃんじゃん<*2>","I won't go easy on you, dude.<*2>"
0x7418c,"わしと ボロトルせんか？<*2>","Will you Borottle with me?<*2>"
0x7418e,"あたしと ろぼとる しない？<*2>","Wanna wobottle wit me?<*2>"
0x74190,"ロボトルするって カンジーッ<*2>","Like, let's Robottle, y'know?<*2>"
0x74192,"ふふふっ そのパーツ いただくわっ<*2>","Hmhmhm, I'll be taking those parts!<*2>"
0x74194,"にいちゃん かかって きなっ<*2>","Bring it on, youngster!<*2>"
0x74196,"ロボトルを しゃしんに<49>とらないかい？<*2>","Mind if I take a photo of our Robottle?<*2>"
0x74198,"きみの せんリゃくは みきった!<*2>","I've seen through your strategy!<*2>"
0x7419a,"ロボトルするべ!<*2>","Ey, let's Robottle!<*2>"
0x7419c,"とあみで つかまえてやるだ<*2>","You'll be caught in my net!<*2>"
0x7419e,"するっぺよ なっ？<*2>","You'll Robottle me, won't ya?<*2>"
0x741a0,"するもぐ するもぐ<*2>","Dig dig dig, let's go!<*2>"
0x741a2,"のらメダロットが あらわれた!<*2>","A stray Medarot appeared!<*2>"
0x741a4,"のらメダロットが あらわれた!<*2>","=0x741a2"
0x741a6,"いくわよっ!<*2>","Let's go!<*2>"
0x741a8,"ぼうや どこからでも<49>かかってらっしゃい<*2>","I'll take you on any day, boy!<*2>"
0x741aa,"きみと ボクとの かくのちがいを<49>みせてあげよう<*2>","I'll show you the difference in our abilities.<*2>"
0x741ac,"いっくわよーっ!<*2>","Here I go~!<*2>"
0x741ae,"あんたって まったく めざわリだわ<*2>","You're a real pain in the neck!<*2>"
0x741b0,"・・・・・・<*2>","......<*2>"
0x741b2,"こてんぱんに してやるぜ!<*2>","I'll beat you to a pulp!<*2>"
0x741b4,"よろしく おねがいいたします<*2>","Pleased to meet you.<*2>"
0x741b6,"ふむ かかってきたまえ<*2>","Hrm...come at me.<*2>"
0x741b8,"なかなか いせいが いいじゃない<*2>","You seem a little strong.<*2>"
0x741ba,"ワシと はリあうのは 53ねん<49>はやいわっ<*2>","You're 53 years too early to face me!<*2>"
0x741bc,"ボクちゃんは つよいでチュよ<*2>","I'm stwong, ya know!<*2>"
0x741be,"ふんっ せかいは ロボロボだんの<49>ために あるのだっ<*2>","The RoboRobo Gang will rule the world.<*2>"
0x741c0,"ワシは みすみす やられは せんぞ<*2>","I won't be defeated so easily!<*2>"
0x741c2,"われわれの じゃまをするものは<49>いかして かえさないわ<*2>","Those who get in our way will be dealt with.<*2>"
0x741c4,"ボクちゃんと たたかうでチュ<*2>","Let's battle!<*2>"
0x741c6,"さあっ ドーンと とびこんできなさい<*2>","Come on now, don't hold back!<*2>"
0x741c8,"どれ まごのせいちょうでも<49>みてやるかの<*2>","Time to see how my grandson is coming along.<*2>"
0x741ca,"オレが かったら ヒヨコかってくれよ<*2>","If I win, you'll buy a chick, right?<*2>"
0x741cc,"わしが わかいころはだな<49>しつけが きびしくて・・・<*2>","Ever since I was a child,<49>I've been doing intense training..<*2>"
0x741ce,"ひとと あらそうのって<49>あんまリすきじゃないわ<*2>","I never really liked fighting.<*2>"
0x741d0,"メガネがないと<49>まえが みえないの・・・<*2>","I can't see anything without my glasses...<*2>"
0x741d2,"ワシの しきぼうさばきを<49>みせてやるぞ<*2>","I will pass judgement on you with my<49>conductor's stick.<*2>"
0x741d4,"さあっ ゆうひにむかって<49>はしるんだっ!<*2>","Now, let us run to the sunset!<*2>"
0x741d6,"どっちが つよいか じっけんだ!<*2>","Who's stronger? It's an experiment!<*2>"
0x741d8,"わたくしの あいてが<49>つとまリますかな？<*2>","Do you think you're good enough<49>to fight me?<*2>"
0x741da,"きみぃ ロボトルで わたしに<49>かてるつもリかい？<*2>","Do you truly expect to win against me~?<*2>"
0x741dc,"オマエ タオス オレ チャンピオン<*2>","I defeat you. I become champion.<*2>"
0x741de,"きさまヲ じくうノ はざまニ<49>とばしてクレルワ<*2>","I'll send you flying into the space-time continuum!<*2>"
0x741e0,"ウッ ウァオーン メダルが<49>つきにみえるぜ<*2>","A-AwooOOooo! Medals... look like... the moon!<*2>"
0x741e2,"オ オ オトモダチニ ナリマショウ<*2>","L-l-let's become friends..<*2>"
0x741e4,"さあ! しょうぶだ!!<S78><*4>","Now! Let's battle!"
0x741e6,"ハカイ・・・スル<*2>","Des...troy...<*2>"
0x741e8,"<*2>",""
0x741ea,"<*2>",""
0x741ec,"<*2>",""
0x741ee,"<*2>",""
0x741f0,"<*2>",""
0x741f2,"<*2>",""
0x741f4,"<*2>",""
0x741f6,"<*2>",""
0x741f8,"<*2>",""
0x741fa,"<*2>",""
0x741fc,"<*2>",""
0x741fe,"<*2>",""
0x74200,"せいぎも まけることが<49>あるであリますっ!<*2>","Even justice loses sometimes, sir!<*2>"
0x74202,"これは こまった まけたロボ<*2>","Uh oh! I lost, Robo!<*2>"
0x74204,"おぬし なかなか やるで ござるな<*2>","You did well to defeat me.<*2>"
0x74206,"このままでは すまさないからな<*2>","You haven't seen the last of me!<*2>"
0x74208,"チェッ シロウトだと<49>おもったんだけどな<*2>","Aww, I thought you were a beginner.<*2>"
0x7420a,"これくらいで かんべんして<49>やるじゃんじゃん<*2>","I'll let you off easy this time, dude!<*2>"
0x7420c,"ボトルロは むずかしいのぉ<*2>","Bottleros are hard to win...<*2>"
0x7420e,"うえーーーっん まけたでチュ<*2>","Waaaah, I lost!<*2>"
0x74210,"なんか ゆるせないって カンジーッ<*2>","I, like, won't forgive you for this!<*2>"
0x74212,"あら ぼうや つよいじゃない<*2>","My, you're a strong one!<*2>"
0x74214,"てやんでぃっ もってけ どろぼうっ<*2>","Go on and take it, you thief!<*2>"
0x74216,"せっかく いいしゃしんが とれたと<49>おもったのに<*2>","Aww, I almost got a good one...<*2>"
0x74218,"みきっても かてないことも ある!<*2>","Sometimes knowing the strategy isn't enough!<*2>"
0x7421a,"まけることも あるんべ<*2>","Ey, sometimes you lose, right?<*2>"
0x7421c,"とあみが からまっただ<*2>","My net got tangled...<*2>"
0x7421e,"おらの まけけぇ？<*2>","Whuzzat? I lost?<*2>"
0x74220,"もぐ もぐ まけもぐ<*2>","Dig dig dig, I lost...<*2>"
0x74222,"のらメダロットは にげていった!<*2>","The stray Medarot fled!<*2>"
0x74224,"のらメダロットは にげていった!<*2>","=0x74222"
0x74226,"<&NAME>ったら<49>なかなか やるじゃない<*2>","I knew you'd do well, <&NAME>.<*2>"
0x74228,"よそういじょうの ウデね ステキよ♥<*2>","You're stronger than I expected ♥!"
0x7422a,"きょうは ちょうしが わるいらしいな<*2>","Seems I'm not at the top of my game today.<*2>"
0x7422c,"あらーっ まけちゃったのねーっ<*2>","Ah I lost-!"
0x7422e,"なんであんたなんかに まけちゃうの？<*2>","How could I lose?<*2>"
0x74230,"・・・・・・<*2>","......<*2>"
0x74232,"てっ てかげんしてやったんだよ!<*2>","I-I was just going easy on you!<*2>"
0x74234,"<&NAME>さん<49>あリがとうございました<*2>","Thank you, <&NAME>.<*2>"
0x74236,"なかなか やるではないか<*2>","You're pretty good.<*2>"
0x74238,"きょうの ところは ひいてあげるわ!<*2>","You got lucky today!<*2>"
0x7423a,"ぬうっ このままでは すまさんぞっ<*2>","Nurgh...it can't end like this!<*2>"
0x7423c,"うううっ こまったでチュ<*2>","Uuurgh this is bad!<*2>"
0x7423e,"うっ うちゅうじんさまーっ<*2>","Masters! I've failed you!<*2>"
0x74240,"ぬうっ ひきあげじゃぁっ<*2>","Urgh, retreeeat!<*2>"
0x74242,"きょうの ところは かんべんして<49>あげるわ<*2>","I'll let you off easy this time.<*2>"
0x74244,"うううっ まけたでチュ<*2>","Ugh...I lost!<*2>"
0x74246,"こんなに リっぱになって<49>パパはうれしいぞっ<*2>","You've gotten very good! I'm proud of you!"
0x74248,"としよリには ちと きついのう<*2>","Don't be so hard on the elderly.<*2>"
0x7424a,"きょうも いっぴきも うれなかったか<*2>","Didn't sell any today either...<*2>"
0x7424c,"・・・・・・ じだいが<49>かわったのかのぉ<*2>","Times really have changed, haven't they?<*2>"
0x7424e,"こんかいのは おもしろかったわ<*2>","That was an interesting fight.<*2>"
0x74250,"あら・・・ ごめんなさいね<49><&NAME>くん だったのね<*2>","Oh it was you, <&NAME>. Sorry about that!<*2>"
0x74252,"おんがくは いいなぁ<*2>","Music is a wonderful thing.<*2>"
0x74254,"いいぞ いいぞぉっ!!<*2>","That's it! Looking good!<*2>"
0x74256,"きみのほうが つよいと フムフム・・<*2>","You're pretty strong hrm hrm...<*2>"
0x74258,"こんかいは すなおに まけを<49>みとめましょう<*2>","I humbly accept defeat.<*2>"
0x7425a,"ユーには まけたよ<*2>","I lost to you~?<*2>"
0x7425c,"オマエ ツヨイ コレヤル ガンバレ<*2>","You are strong. <49>Take this. Good luck.<*2>"
0x7425e,"これデ かったト おもうなヨ<*2>","I thought I win this.<*2>"
0x74260,"ハアッ ハアッ まけちまったぜ<*2>","Hah... Hah... I lost!<*2>"
0x74262,"ダカラ オトモダチニ・・・<*2>",""
0x74264,"<*2>","<*2>"
0x74266,"バッ パッ ピッ<49>バカナーッ!!<*2>","A... I-I... Bzzt-- Impossible...!!<*2>"
0x74268,"<*2>","<*2>"
0x7426a,"<*2>","=0x74268"
0x7426c,"<*2>","=0x74268"
0x7426e,"<*2>","=0x74268"
0x74270,"<*2>","=0x74268"
0x74272,"<*2>","=0x74268"
0x74274,"<*2>","=0x74268"
0x74276,"<*2>","=0x74268"
0x74278,"<*2>","=0x74268"
0x7427a,"<*2>","=0x74268"
0x7427c,"<*2>","=0x74268"
0x7427e,"<*2>","<*2>"
